"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.0000,-164.5477
0.0005,-108.6971
0.0010,-32.0933
0.0015,30.7767
0.0020,62.5170
0.0025,74.4195
0.0030,76.2507
0.0035,66.4845
0.0040,60.3806
0.0045,89.0689
0.0050,152.2441
0.0055,195.2765
0.0060,170.8610
0.0065,101.8870
0.0070,52.7507
0.0075,52.1404
0.0080,71.3676
0.0085,71.3676
0.0090,45.1209
0.0095,14.9066
0.0100,11.2443
0.0105,50.0040
0.0110,111.6533
0.0115,147.0558
0.0120,126.6078
0.0125,75.3351
0.0130,42.9845
0.0135,43.2897
0.0140,48.4780
0.0145,38.1014
0.0150,20.0949
0.0155,1.4781
0.0160,-32.3985
0.0165,-84.2815
0.0170,-116.6322
0.0175,-82.1452
0.0180,24.6729
0.0185,158.3480
0.0190,263.0297
0.0195,310.0296
0.0200,301.7894
0.0205,260.8933
0.0210,214.1986
0.0215,173.9129
0.0220,129.0493
0.0225,59.7702
0.0230,-22.6323
0.0235,-74.5153
0.0240,-65.6647
0.0245,-19.5803
0.0250,11.8547
0.0255,6.9716
0.0260,-16.5284
0.0265,-43.6907
0.0270,-82.4504
0.0275,-130.9763
0.0280,-161.8009
0.0285,-157.5282
0.0290,-137.3854
0.0295,-124.8724
0.0300,-109.0023
0.0305,-70.2426
0.0310,-24.7686
0.0315,-3.7102
0.0320,-0.0479
0.0325,24.3677
0.0330,74.4195
0.0335,107.9909
0.0340,94.2572
0.0345,55.1923
0.0350,30.4715
0.0355,27.4196
0.0360,27.4196
0.0365,21.0105
0.0370,16.7378
0.0375,17.0430
0.0380,15.5170
0.0385,7.8872
0.0390,-0.0479
0.0395,-4.0154
0.0400,-8.2881
0.0405,-18.3596
0.0410,-34.2297
0.0415,-48.5738
0.0420,-54.9829
0.0425,-54.9829
0.0430,-54.0673
0.0435,-54.3725
0.0440,-51.9309
0.0445,-44.9115
0.0450,-39.1128
0.0455,-40.6387
0.0460,-44.9115
0.0465,-44.6063
0.0470,-40.0284
0.0475,-38.1972
0.0480,-41.2491
0.0485,-45.5219
0.0490,-48.2686
0.0495,-50.0998
0.0500,-50.4050
0.0505,-46.4374
0.0510,-39.4180
0.0515,-34.8401
0.0520,-35.1452
0.0525,-36.6712
0.0530,-35.7556
0.0535,-33.3141
0.0540,-30.2621
0.0545,-26.2946
0.0550,-20.1907
0.0555,-14.6972
0.0560,-12.2557
0.0565,-12.8661
0.0570,-15.0024
0.0575,-17.1388
0.0580,-19.2751
0.0585,-20.4959
0.0590,-19.8855
0.0595,-20.1907
0.0600,-22.3271
0.0605,-24.4634
0.0610,-24.1582
0.0615,-22.9375
0.0620,-24.4634
0.0625,-29.6517
0.0630,-36.6712
0.0635,-47.3530
0.0640,-62.6127
0.0645,-75.7361
0.0650,-76.9569
0.0655,-68.4114
0.0660,-65.3595
0.0665,-74.2101
0.0670,-79.3984
0.0675,-64.4439
0.0680,-36.3660
0.0685,-17.4440
0.0690,-13.7816
0.0695,-9.5089
0.0700,7.5820
0.0705,30.1664
0.0710,40.5430
0.0715,35.0495
0.0720,23.1469
0.0725,13.9911
0.0730,7.2768
0.0735,2.6989
0.0740,3.6144
0.0745,13.9911
0.0750,27.1144
0.0755,31.9975
0.0760,23.4521
0.0765,9.4131
0.0770,0.5625
0.0775,3.6144
0.0780,19.7897
0.0785,42.9845
0.0790,58.2442
0.0795,50.0040
0.0800,26.1988
0.0805,18.5690
0.0810,46.3417
0.0815,90.2897
0.0820,123.8610
0.0825,153.1597
0.0830,201.3804
0.0835,258.1466
0.0840,275.2375
0.0845,226.4064
0.0850,144.3091
0.0855,85.4065
0.0860,71.9780
0.0865,82.3546
0.0870,88.7637
0.0875,79.6078
0.0880,58.2442
0.0885,35.3547
0.0890,18.8742
0.0895,11.2443
0.0900,7.2768
0.0905,0.5625
0.0910,-10.4245
0.0915,-26.5998
0.0920,-45.8271
0.0925,-58.6452
0.0930,-55.2881
0.0935,-38.8076
0.0940,-25.6842
0.0945,-25.3790
0.0950,-29.3466
0.0955,-27.2102
0.0960,-22.9375
0.0965,-25.6842
0.0970,-35.7556
0.0975,-45.5219
0.0980,-52.8465
0.0985,-62.0024
0.0990,-72.6842
0.0995,-80.6192
0.1000,-85.8075
0.1005,-91.9114
0.1010,-97.4049
0.1015,-96.7945
0.1020,-90.0802
0.1025,-84.2815
0.1030,-83.9764
0.1035,-83.9764
0.1040,-76.9569
0.1045,-61.0868
0.1050,-40.9439
0.1055,-24.4634
0.1060,-18.3596
0.1065,-23.8531
0.1070,-34.5349
0.1075,-42.1647
0.1080,-44.9115
0.1085,-48.8790
0.1090,-55.8985
0.1095,-60.1712
0.1100,-53.4569
0.1105,-31.7881
0.1110,-4.6258
0.1115,8.8027
0.1120,-1.2687
0.1125,-16.8336
0.1130,0.8677
0.1135,64.0429
0.1140,130.5753
0.1145,150.1078
0.1150,123.8610
0.1155,100.0559
0.1160,108.2961
0.1165,128.4390
0.1170,129.9649
0.1175,115.0104
0.1180,100.0559
0.1185,82.6598
0.1190,53.9715
0.1195,25.5884
0.1200,19.7897
0.1205,36.2702
0.1210,52.1404
0.1215,53.0559
0.1220,44.5105
0.1225,35.0495
0.1230,25.2832
0.1235,17.6534
0.1240,19.4846
0.1245,29.2508
0.1250,33.8287
0.1255,25.2832
0.1260,9.7183
0.1265,-1.5739
0.1270,-5.5414
0.1275,-4.0154
0.1280,0.2573
0.1285,5.4456
0.1290,8.8027
0.1295,9.1079
0.1300,6.6664
0.1305,2.0885
0.1310,-2.4894
0.1315,-6.4570
0.1320,-8.5933
0.1325,-10.1193
0.1330,-11.9505
0.1335,-13.7816
0.1340,-13.4764
0.1345,-11.9505
0.1350,-12.2557
0.1355,-14.6972
0.1360,-18.0544
0.1365,-20.4959
0.1370,-21.7167
0.1375,-22.6323
0.1380,-23.8531
0.1385,-24.1582
0.1390,-22.0219
0.1395,-18.6648
0.1400,-16.2232
0.1405,-16.5284
0.1410,-17.7492
0.1415,-18.6648
0.1420,-18.6648
0.1425,-18.6648
0.1430,-18.3596
0.1435,-16.8336
0.1440,-15.0024
0.1445,-14.0868
0.1450,-14.6972
0.1455,-14.6972
0.1460,-15.3076
0.1465,-15.9180
0.1470,-16.2232
0.1475,-15.6128
0.1480,-15.9180
0.1485,-21.4115
0.1490,-29.9569
0.1495,-37.2816
0.1500,-39.1128
0.1505,-36.3660
0.1510,-31.7881
0.1515,-26.2946
0.1520,-21.1063
0.1525,-17.7492
0.1530,-17.7492
0.1535,-21.1063
0.1540,-24.4634
0.1545,-26.9050
0.1550,-29.0414
0.1555,-33.3141
0.1560,-39.1128
0.1565,-43.3855
0.1570,-43.0803
0.1575,-38.1972
0.1580,-30.5673
0.1585,-23.2427
0.1590,-20.8011
0.1595,-27.2102
0.1600,-38.5024
0.1605,-42.4699
0.1610,-30.8725
0.1615,-9.2037
0.1620,7.8872
0.1625,14.2962
0.1630,13.6859
0.1635,11.8547
0.1640,9.4131
0.1645,5.1404
0.1650,0.5625
0.1655,-2.4894
0.1660,-5.5414
0.1665,-9.8141
0.1670,-12.5609
0.1675,-10.7297
0.1680,-4.9310
0.1685,0.8677
0.1690,3.9196
0.1695,3.0041
0.1700,-1.5739
0.1705,-8.2881
0.1710,-12.8661
0.1715,-13.4764
0.1720,-12.5609
0.1725,-12.2557
0.1730,-11.3401
0.1735,-5.8466
0.1740,2.6989
0.1745,8.4976
0.1750,8.4976
0.1755,7.5820
0.1760,11.8547
0.1765,20.7053
0.1770,26.5040
0.1775,25.5884
0.1780,21.9261
0.1785,22.2313
0.1790,25.5884
0.1795,28.9456
0.1800,29.2508
0.1805,26.8092
0.1810,23.1469
0.1815,21.9261
0.1820,25.2832
0.1825,31.0819
0.1830,33.2183
0.1835,29.8612
0.1840,26.8092
0.1845,29.2508
0.1850,34.7443
0.1855,35.3547
0.1860,31.3871
0.1865,30.1664
0.1870,36.2702
0.1875,44.2053
0.1880,47.5624
