"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.0000,86.8956
0.0005,93.3047
0.0010,100.3242
0.0015,104.2917
0.0020,106.7332
0.0025,111.9215
0.0030,118.9410
0.0035,125.6553
0.0040,133.2852
0.0045,143.3566
0.0050,152.2072
0.0055,157.3955
0.0060,161.0578
0.0065,166.2462
0.0070,172.0448
0.0075,177.8435
0.0080,185.4734
0.0085,194.6292
0.0090,201.3435
0.0095,205.0058
0.0100,209.2786
0.0105,214.7721
0.0110,218.1292
0.0115,219.9604
0.0120,225.1487
0.0125,233.9993
0.0130,239.4928
0.0135,238.8824
0.0140,238.8824
0.0145,243.4603
0.0150,248.0383
0.0155,249.2590
0.0160,252.0058
0.0165,257.8045
0.0170,262.0772
0.0175,260.5512
0.0180,258.4149
0.0185,259.6356
0.0190,262.0772
0.0195,262.9928
0.0200,264.8239
0.0205,268.7915
0.0210,270.3174
0.0215,267.2655
0.0220,264.8239
0.0225,265.7395
0.0230,266.6551
0.0235,264.5187
0.0240,264.2136
0.0245,268.4863
0.0250,272.1486
0.0255,268.7915
0.0260,260.8564
0.0265,254.4473
0.0270,250.7850
0.0275,246.2071
0.0280,241.3240
0.0285,236.7461
0.0290,230.9474
0.0295,223.3175
0.0300,214.7721
0.0305,206.5318
0.0310,196.7656
0.0315,186.6942
0.0320,179.0643
0.0325,172.9604
0.0330,164.4150
0.0335,151.5968
0.0340,139.3890
0.0345,130.5384
0.0350,121.6878
0.0355,111.0060
0.0360,101.5449
0.0365,94.5255
0.0370,85.3696
0.0375,71.9411
0.0380,58.8177
0.0385,49.6619
0.0390,41.4216
0.0395,31.3502
0.0400,21.8892
0.0405,13.9541
0.0410,4.1879
0.0415,-8.0199
0.0420,-18.7017
0.0425,-24.8055
0.0430,-31.2146
0.0435,-39.7601
0.0440,-45.8640
0.0445,-48.0003
0.0450,-51.0523
0.0455,-59.9029
0.0460,-68.7535
0.0465,-73.0263
0.0470,-75.1626
0.0475,-79.1302
0.0480,-82.1821
0.0485,-82.1821
0.0490,-83.4029
0.0495,-88.2860
0.0500,-92.2535
0.0505,-91.3379
0.0510,-90.7275
0.0515,-93.4743
0.0520,-94.3899
0.0525,-89.2016
0.0530,-85.5392
0.0535,-90.4223
0.0540,-95.9158
0.0545,-89.5068
0.0550,-75.1626
0.0555,-68.4483
0.0560,-75.7730
0.0565,-86.7600
0.0570,-91.0327
0.0575,-90.7275
0.0580,-91.6431
0.0585,-94.0847
0.0590,-95.0003
0.0595,-94.3899
0.0600,-94.0847
0.0605,-95.6107
0.0610,-98.3574
0.0615,-101.1042
0.0620,-102.9353
0.0625,-104.4613
0.0630,-105.3769
0.0635,-105.9873
0.0640,-105.6821
0.0645,-104.7665
0.0650,-104.7665
0.0655,-105.9873
0.0660,-109.3444
0.0665,-113.3119
0.0670,-115.7535
0.0675,-114.8379
0.0680,-111.1756
0.0685,-108.1236
0.0690,-107.5132
0.0695,-107.5132
0.0700,-106.5976
0.0705,-105.6821
0.0710,-105.3769
0.0715,-103.2405
0.0720,-98.6626
0.0725,-96.2210
0.0730,-99.2730
0.0735,-104.1561
0.0740,-105.3769
0.0745,-104.4613
0.0750,-104.1561
0.0755,-103.5457
0.0760,-100.7990
0.0765,-98.9678
0.0770,-102.6301
0.0775,-108.1236
0.0780,-109.3444
0.0785,-108.1236
0.0790,-109.6496
0.0795,-113.3119
0.0800,-115.1431
0.0805,-116.3639
0.0810,-120.6366
0.0815,-127.3509
0.0820,-132.2340
0.0825,-135.8963
0.0830,-142.3054
0.0835,-148.4093
0.0840,-149.3249
0.0845,-147.4937
0.0850,-149.3249
0.0855,-156.3443
0.0860,-162.7534
0.0865,-165.5002
0.0870,-166.4158
0.0875,-167.3313
0.0880,-166.7209
0.0885,-165.5002
0.0890,-166.1106
0.0895,-168.5521
0.0900,-170.0781
0.0905,-169.4677
0.0910,-167.9417
0.0915,-166.4158
0.0920,-163.9742
0.0925,-162.4482
0.0930,-164.5846
0.0935,-167.6365
0.0940,-168.8573
0.0945,-168.2469
0.0950,-166.7209
0.0955,-163.9742
0.0960,-159.0911
0.0965,-154.5132
0.0970,-153.9028
0.0975,-155.1236
0.0980,-153.5976
0.0985,-148.7145
0.0990,-142.6106
0.0995,-135.2859
0.1000,-125.5197
0.1005,-117.2795
0.1010,-114.8379
0.1015,-116.9743
0.1020,-118.8054
0.1025,-119.7210
0.1030,-123.3833
0.1035,-129.4872
0.1040,-135.5911
0.1045,-141.3898
0.1050,-149.9353
0.1055,-163.0586
0.1060,-177.4028
0.1065,-190.8313
0.1070,-203.6495
0.1075,-215.2469
0.1080,-224.0975
0.1085,-232.6429
0.1090,-243.9351
0.1095,-256.4481
0.1100,-265.2987
0.1105,-270.4870
0.1110,-276.5909
0.1115,-284.5260
0.1120,-288.7987
0.1125,-290.0195
0.1130,-294.5974
0.1135,-303.7532
0.1140,-309.5519
0.1145,-309.2467
0.1150,-309.8571
0.1155,-314.4350
0.1160,-315.6558
0.1165,-310.7727
0.1170,-309.8571
0.1175,-317.7922
0.1180,-322.0649
0.1185,-310.7727
0.1190,-295.2078
0.1195,-293.9870
0.1200,-306.5000
0.1205,-315.3506
0.1210,-313.2143
0.1215,-308.6363
0.1220,-308.6363
0.1225,-308.0260
0.1230,-304.6688
0.1235,-301.9221
0.1240,-300.3961
0.1245,-296.1234
0.1250,-288.7987
0.1255,-284.5260
0.1260,-284.8312
0.1265,-284.8312
0.1270,-281.7792
0.1275,-278.4221
0.1280,-274.7598
0.1285,-268.3507
0.1290,-261.0260
0.1295,-255.8377
0.1300,-250.6494
0.1305,-242.7144
0.1310,-233.2533
0.1315,-225.9287
0.1320,-217.9936
0.1325,-204.5651
0.1330,-189.3053
0.1335,-177.7079
0.1340,-168.8573
0.1345,-156.3443
