"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.0000,-207.7665
0.0005,-177.2470
0.0010,-111.9354
0.0015,-44.1823
0.0020,-5.4226
0.0025,6.1748
0.0030,13.4995
0.0035,27.2332
0.0040,39.1358
0.0045,40.6618
0.0050,31.2008
0.0055,14.7203
0.0060,-3.2862
0.0065,-18.5459
0.0070,-31.3641
0.0075,-44.7927
0.0080,-54.2537
0.0085,-49.9810
0.0090,-29.8381
0.0095,-6.9485
0.0100,9.8371
0.0105,28.7592
0.0110,57.7527
0.0115,86.7461
0.0120,94.9864
0.0125,76.0643
0.0130,45.5449
0.0135,23.2657
0.0140,14.4151
0.0145,9.5319
0.0150,-1.4550
0.0155,-13.9680
0.0160,-13.9680
0.0165,0.3761
0.0170,6.7852
0.0175,-11.2213
0.0180,-44.1823
0.0185,-61.5783
0.0190,-51.5069
0.0195,-32.2797
0.0200,-24.0394
0.0205,-27.0914
0.0210,-26.7862
0.0215,-12.4420
0.0220,11.9735
0.0225,37.9150
0.0230,56.5319
0.0235,66.9085
0.0240,74.2332
0.0245,78.2007
0.0250,74.5384
0.0255,64.4669
0.0260,57.1423
0.0265,56.8371
0.0270,52.5644
0.0275,34.5579
0.0280,6.7852
0.0285,-20.3771
0.0290,-43.5719
0.0295,-60.9680
0.0300,-61.2732
0.0305,-40.5199
0.0310,-16.4096
0.0315,-11.8317
0.0320,-23.7342
0.0325,-26.7862
0.0330,-9.6953
0.0335,11.6683
0.0340,19.9086
0.0345,18.6878
0.0350,21.4345
0.0355,29.3696
0.0360,33.6423
0.0365,28.7592
0.0370,18.3826
0.0375,9.5319
0.0380,3.7333
0.0385,-0.2343
0.0390,-5.1174
0.0395,-8.7797
0.0400,-9.3901
0.0405,-8.4745
0.0410,-9.3901
0.0415,-12.4420
0.0420,-11.5265
0.0425,-4.8122
0.0430,0.3761
0.0435,-0.8447
0.0440,-6.0330
0.0445,-9.0849
0.0450,-10.9161
0.0455,-16.4096
0.0460,-24.3446
0.0465,-28.3122
0.0470,-26.7862
0.0475,-25.2602
0.0480,-27.3966
0.0485,-29.8381
0.0490,-29.2277
0.0495,-27.7018
0.0500,-28.3122
0.0505,-29.5329
0.0510,-27.7018
0.0515,-24.3446
0.0520,-21.9031
0.0525,-21.2927
0.0530,-20.6823
0.0535,-19.7667
0.0540,-18.8511
0.0545,-18.2407
0.0550,-17.3252
0.0555,-16.1044
0.0560,-14.5784
0.0565,-13.3576
0.0570,-12.7472
0.0575,-13.0524
0.0580,-13.3576
0.0585,-10.3057
0.0590,-3.5914
0.0595,0.9865
0.0600,0.3761
0.0605,-2.6758
0.0610,-1.1499
0.0615,4.6488
0.0620,9.2268
0.0625,14.1099
0.0630,28.7592
0.0635,52.2592
