"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.0000,-192.8989
0.0005,-145.8989
0.0010,-119.9574
0.0015,-113.2431
0.0020,-104.3925
0.0025,-86.9964
0.0030,-71.1263
0.0035,-59.5289
0.0040,-44.8796
0.0045,-25.9575
0.0050,-12.2238
0.0055,-6.4251
0.0060,-2.4576
0.0065,4.8671
0.0070,12.8022
0.0075,17.6853
0.0080,19.8216
0.0085,21.0424
0.0090,18.9060
0.0095,14.6333
0.0100,13.4125
0.0105,17.9905
0.0110,22.5684
0.0115,21.3476
0.0120,14.3281
0.0125,9.7502
0.0130,12.8022
0.0135,23.7891
0.0140,39.0489
0.0145,54.3086
0.0150,63.7696
0.0155,63.4644
0.0160,56.4450
0.0165,50.9515
0.0170,51.2566
0.0175,53.3930
0.0180,53.3930
0.0185,54.0034
0.0190,57.6657
0.0195,57.6657
0.0200,46.6787
0.0205,25.6203
0.0210,-0.0160
0.0215,-27.1783
0.0220,-51.5939
0.0225,-60.4445
0.0230,-44.2692
0.0235,-13.7498
0.0240,7.9190
0.0245,10.0554
0.0250,2.4255
0.0255,-1.5420
0.0260,-2.4576
0.0265,-9.4770
0.0270,-30.2303
0.0275,-63.8016
0.0280,-97.3730
0.0285,-111.4120
0.0290,-95.5419
0.0295,-61.0549
0.0300,-29.6199
0.0305,-10.3926
0.0310,0.8996
0.0315,8.8346
0.0320,8.8346
0.0325,1.2048
0.0330,-2.1524
0.0335,6.3931
0.0340,23.4840
0.0345,37.8281
0.0350,43.6268
0.0355,39.6593
0.0360,28.3671
0.0365,17.0749
0.0370,12.8022
0.0375,11.5814
0.0380,3.9515
0.0385,-8.2563
0.0390,-13.4446
0.0395,-6.1199
0.0400,7.6138
0.0405,22.5684
0.0410,41.7956
0.0415,61.6333
0.0420,72.3151
0.0425,74.1462
0.0430,77.5034
0.0435,82.3865
0.0440,70.1787
0.0445,33.8606
0.0450,-5.8147
0.0455,-28.3991
0.0460,-39.3861
0.0465,-50.0679
0.0470,-50.0679
0.0475,-26.2627
0.0480,1.5100
0.0485,-1.5420
