"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.0000,131.0951
0.0005,130.1795
0.0010,128.6536
0.0015,122.2445
0.0020,115.2250
0.0025,112.7834
0.0030,111.8679
0.0035,108.5107
0.0040,105.1536
0.0045,105.1536
0.0050,106.3744
0.0055,103.3224
0.0060,98.1341
0.0065,94.7770
0.0070,92.6406
0.0075,90.1991
0.0080,89.2835
0.0085,92.9458
0.0090,95.6926
0.0095,93.2510
0.0100,87.4523
0.0105,85.3159
0.0110,86.5367
0.0115,87.7575
0.0120,88.3679
0.0125,89.8939
0.0130,91.1146
0.0135,89.8939
0.0140,87.7575
0.0145,87.4523
0.0150,87.7575
0.0155,86.2315
0.0160,85.9263
0.0165,88.3679
0.0170,89.8939
0.0175,87.4523
0.0180,84.7056
0.0185,84.7056
0.0190,85.0108
0.0195,83.1796
0.0200,81.6536
0.0205,83.7900
0.0210,85.6211
0.0215,82.8744
0.0220,79.5173
0.0225,78.9069
0.0230,78.9069
0.0235,76.1601
0.0240,74.0238
0.0245,76.7705
0.0250,80.4328
0.0255,78.2965
0.0260,70.9718
0.0265,64.2575
0.0270,59.6796
0.0275,55.4069
0.0280,52.3549
0.0285,51.1342
0.0290,48.6926
0.0295,41.6731
0.0300,34.0433
0.0305,29.1602
0.0310,24.5823
0.0315,18.1732
0.0320,12.3745
0.0325,11.4589
0.0330,12.0693
0.0335,7.7966
0.0340,0.1667
0.0345,-5.0216
0.0350,-6.2424
0.0355,-7.7683
0.0360,-9.9047
0.0365,-10.8203
0.0370,-10.8203
0.0375,-12.9567
0.0380,-16.9242
0.0385,-20.2813
0.0390,-22.4177
0.0395,-25.7748
0.0400,-29.7423
0.0405,-32.1839
0.0410,-33.0995
0.0415,-37.0670
0.0420,-45.3073
0.0425,-49.8852
0.0430,-43.7813
0.0435,-32.1839
0.0440,-26.9956
0.0445,-34.6255
0.0450,-47.4436
0.0455,-53.5475
0.0460,-51.4111
0.0465,-50.1904
0.0470,-53.8527
0.0475,-56.5995
0.0480,-53.8527
0.0485,-49.8852
0.0490,-51.7163
0.0495,-57.5150
0.0500,-61.1774
0.0505,-63.3137
0.0510,-66.6709
0.0515,-69.4176
0.0520,-67.2813
0.0525,-63.9241
0.0530,-65.7553
0.0535,-70.9436
0.0540,-73.3851
0.0545,-71.5540
0.0550,-70.9436
0.0555,-73.3851
0.0560,-73.9955
0.0565,-73.3851
0.0570,-75.2163
0.0575,-80.0994
0.0580,-81.9306
0.0585,-80.4046
0.0590,-81.3202
0.0595,-85.5929
0.0600,-86.5085
0.0605,-83.1514
0.0610,-82.2358
0.0615,-87.4241
0.0620,-92.3072
0.0625,-93.2228
0.0630,-94.4436
0.0635,-97.8007
0.0640,-99.0215
0.0645,-95.6643
0.0650,-92.6124
0.0655,-94.4436
0.0660,-98.4111
0.0665,-100.8526
0.0670,-102.3786
0.0675,-103.5994
0.0680,-102.0734
0.0685,-97.8007
0.0690,-95.3591
0.0695,-96.5799
0.0700,-97.1903
0.0705,-95.0539
0.0710,-94.1384
0.0715,-95.0539
0.0720,-93.2228
0.0725,-88.0345
0.0730,-85.5929
0.0735,-88.9501
0.0740,-92.9176
0.0745,-93.5280
0.0750,-93.8332
0.0755,-95.3591
0.0760,-95.0539
0.0765,-90.7812
0.0770,-87.4241
0.0775,-88.6449
0.0780,-90.7812
0.0785,-89.2553
0.0790,-85.5929
0.0795,-81.9306
0.0800,-77.6579
0.0805,-71.5540
0.0810,-66.6709
0.0815,-65.1449
0.0820,-63.9241
0.0825,-59.9566
0.0830,-54.4631
0.0835,-48.3592
0.0840,-40.4242
0.0845,-30.9631
0.0850,-23.3333
0.0855,-18.7553
0.0860,-15.7034
0.0865,-11.1255
0.0870,-5.3268
0.0875,1.9979
0.0880,11.4589
0.0885,20.9199
0.0890,27.9394
0.0895,33.7381
0.0900,40.1472
0.0905,46.2511
0.0910,50.2186
0.0915,53.5757
0.0920,59.0692
0.0925,65.4783
0.0930,68.8354
0.0935,69.1406
0.0940,68.8354
0.0945,68.5303
0.0950,67.0043
0.0955,65.7835
0.0960,65.4783
0.0965,63.6471
0.0970,58.4588
0.0975,52.0498
0.0980,46.8614
0.0985,40.4524
0.0990,31.2965
0.0995,22.1407
0.1000,15.1212
0.1005,7.4914
0.1010,-3.4956
0.1015,-15.7034
0.1020,-26.0800
0.1025,-36.7618
0.1030,-49.5800
0.1035,-62.7033
0.1040,-73.0800
0.1045,-83.1514
0.1050,-95.0539
0.1055,-109.3981
0.1060,-125.2682
0.1065,-143.5799
0.1070,-161.2811
0.1075,-174.0993
