"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.0000,-6.4201
0.0005,-8.5564
0.0010,-10.9980
0.0015,-10.0824
0.0020,-5.5045
0.0025,-2.4525
0.0030,-3.0629
0.0035,-3.0629
0.0040,0.5994
0.0045,4.2617
0.0050,2.7358
0.0055,-2.1473
0.0060,-5.1993
0.0065,-4.5889
0.0070,-3.6733
0.0075,-2.7577
0.0080,-0.3162
0.0085,3.0410
0.0090,4.2617
0.0095,1.5150
0.0100,-2.4525
0.0105,-5.1993
0.0110,-6.1149
0.0115,-7.9460
0.0120,-11.9136
0.0125,-15.5759
0.0130,-17.1019
0.0135,-18.0175
0.0140,-21.9850
0.0145,-26.5629
0.0150,-25.3421
0.0155,-17.4071
0.0160,-11.3032
0.0165,-13.4395
0.0170,-19.5434
0.0175,-19.2382
0.0180,-11.6084
0.0185,-3.9785
0.0190,-1.2318
0.0195,-0.0110
0.0200,2.4306
0.0205,3.0410
0.0210,-0.0110
0.0215,-3.3681
0.0220,-3.0629
0.0225,1.5150
0.0230,8.8397
0.0235,15.2487
0.0240,17.3851
0.0245,14.3332
0.0250,9.7552
0.0255,10.0604
0.0260,14.9435
0.0265,17.9955
0.0270,14.9435
0.0275,7.9241
0.0280,0.9046
0.0285,-4.8941
0.0290,-10.0824
0.0295,-12.2188
0.0300,-10.0824
0.0305,-6.4201
0.0310,-5.1993
0.0315,-6.7253
0.0320,-9.1668
0.0325,-10.6928
0.0330,-11.3032
0.0335,-8.8616
0.0340,-3.0629
0.0345,3.9565
0.0350,11.2812
0.0355,17.9955
0.0360,23.1838
0.0365,25.0150
0.0370,23.4890
0.0375,22.8786
0.0380,26.5409
0.0385,33.2552
0.0390,38.1383
0.0395,38.7487
0.0400,36.6123
0.0405,34.4760
0.0410,31.7292
0.0415,25.0150
0.0420,13.4176
0.0425,0.5994
0.0430,-7.6408
0.0435,-9.4720
0.0440,-8.8616
0.0445,-10.6928
0.0450,-14.9655
0.0455,-18.3226
0.0460,-21.3746
0.0465,-26.5629
0.0470,-33.2772
0.0475,-34.4979
0.0480,-28.3941
0.0485,-21.9850
0.0490,-22.2902
0.0495,-23.5110
0.0500,-16.4915
0.0505,-1.8421
0.0510,8.8397
0.0515,7.9241
0.0520,-0.3162
